gx,gy,F3,FC,P7,T8,F7,F8,T7,P8,AF4,F4,AF3,O2,O1,FC5
4,2,8551,8169,8329,8772,8198,8465,7848,6982,7914,8211,8795,8515,8046,7978
4,2,8550,8170,8330,8778,8202,8468,7849,6988,7925,8217,8791,8511,8046,7980
4,2,8546,8176,8331,8780,8214,8466,7847,6986,7928,8215,8788,8514,8045,7982
4,2,8548,8177,8329,8775,8214,8474,7849,6982,7918,8210,8793,8515,8041,7981
4,2,8546,8172,8330,8772,8207,8480,7853,6988,7917,8208,8793,8515,8042,7974
4,3,8546,8173,8332,8775,8214,8482,7850,6997,7929,8214,8792,8512,8046,7971
4,2,8545,8175,8335,8775,8219,8474,7846,6992,7927,8215,8786,8516,8047,7973
4,2,8544,8176,8331,8773,8214,8470,7842,6984,7921,8210,8787,8525,8042,7973
4,2,8546,8174,8329,8773,8205,8470,7845,6984,7920,8206,8793,8522,8040,7975
4,3,8549,8174,8333,8777,8203,8475,7847,6987,7927,8211,8797,8513,8046,7978
4,2,8545,8174,8335,8778,8212,8476,7847,6990,7925,8209,8795,8512,8048,7977
4,2,8540,8174,8334,8773,8220,8477,7846,6988,7920,8209,8794,8513,8040,7975
4,2,8545,8174,8332,8774,8209,8476,7848,6985,7920,8217,8789,8513,8040,7976
4,2,8544,8178,8333,8780,8202,8476,7848,6985,7927,8217,8789,8519,8043,7977
4,3,8540,8175,8334,8777,8214,8479,7846,6992,7931,8212,8797,8525,8040,7976
4,2,8538,8170,8335,8771,8218,8482,7850,6994,7924,8212,8793,8522,8042,7975
4,2,8544,8174,8332,8773,8215,8480,7849,6991,7925,8219,8785,8515,8042,7973
4,2,8550,8175,8329,8776,8216,8468,7844,6991,7927,8214,8786,8514,8041,7973
4,2,8549,8172,8328,8777,8212,8466,7842,6993,7923,8210,8791,8519,8047,7976
4,3,8547,8171,8332,8777,8205,8471,7843,6986,7916,8210,8791,8519,8050,7979
4,2,8550,8176,8329,8773,8215,8478,7846,6978,7924,8215,8786,8514,8038,7975
4,2,8546,8175,8326,8771,8224,8476,7849,6984,7925,8216,8785,8514,8037,7975
4,2,8543,8176,8331,8779,8208,8476,7846,6994,7920,8212,8795,8513,8050,7982
4,2,8546,8178,8335,8784,8196,8477,7845,6991,7918,8205,8796,8512,8053,7976
4,2,8547,8176,8332,8776,8214,8480,7850,6987,7923,8209,8791,8517,8044,7970
4,3,8540,8173,8333,8773,8227,8480,7852,6989,7921,8212,8793,8521,8039,7974
4,2,8539,8173,8334,8781,8214,8481,7847,6989,7921,8209,8798,8517,8044,7976
4,2,8544,8170,8332,8782,8199,8478,7844,6988,7926,8209,8794,8514,8046,7973
4,2,8547,8170,8332,8778,8212,8472,7844,6991,7926,8212,8790,8514,8045,7973
4,2,8543,8175,8332,8778,8223,8476,7847,6991,7919,8210,8788,8514,8048,7978
4,2,8539,8176,8332,8782,8207,8483,7845,6992,7920,8209,8796,8514,8047,7980
4,2,8543,8176,8330,8785,8197,8477,7843,6993,7929,8211,8800,8515,8043,7978
4,2,8541,8172,8328,8777,8217,8468,7851,6984,7923,8207,8786,8516,8043,7976
4,2,8539,8173,8332,8771,8226,8471,7851,6984,7915,8206,8783,8514,8044,7976
4,2,8537,8177,8339,8773,8199,8476,7847,6996,7914,8205,8798,8514,8048,7978
4,2,8540,8177,8333,8776,8191,8475,7848,6997,7924,8208,8798,8522,8052,7979
4,3,8540,8171,8334,8773,8220,8469,7850,6984,7925,8214,8782,8524,8048,7977
4,2,8539,8173,8339,8773,8222,8476,7847,6984,7925,8216,8787,8513,8041,7975
4,2,8541,8176,8335,8773,8192,8477,7847,6990,7921,8211,8800,8511,8047,7972
4,2,8547,8177,8329,8776,8197,8471,7847,6992,7921,8214,8794,8520,8049,7972
4,2,8542,8174,8334,8781,8227,8474,7849,6989,7919,8211,8783,8517,8042,7975
4,2,8537,8175,8333,8782,8221,8483,7849,6988,7926,8207,8790,8509,8041,7974
4,2,8541,8174,8328,8777,8196,8472,7847,6994,7929,8208,8800,8512,8049,7973
4,2,8544,8173,8332,8774,8203,8467,7845,6990,7923,8210,8794,8515,8047,7977
4,2,8542,8175,8336,8779,8222,8477,7848,6984,7919,8211,8786,8514,8043,7979
4,3,8543,8177,8330,8779,8215,8479,7850,6987,7923,8209,8792,8515,8042,7977
